product_id,product_name,category,revenue,total_cost
26,"Face Cream",Beauty,8126.68,742.48
2,Monitor,Electronics,8060.87,803.79
11,Lamp,"Home Office",7862.65,869.18
1,Laptop,Electronics,7680.17,988.85
3,Keyboard,Electronics,7648.98,470.96
9,Desk,"Home Office",7600.17,643.86
20,"Yoga Mat",Fitness,7531.65,327.12
8,Printer,Electronics,7406.46,562.76
10,"Office Chair","Home Office",7212.11,1008.28
28,"Makeup Kit",Beauty,7068.55,571.30
5,Tablet,Electronics,6723.82,668.11
9,Desk,"Home Office",6611.53,429.24
27,Shampoo,Beauty,6430.02,316.56
11,Lamp,"Home Office",6366.66,434.59
17,Toaster,Kitchen,6286.97,445.22
12,Notebook,"Home Office",5798.21,320.64
12,Notebook,"Home Office",5723.87,427.52
9,Desk,"Home Office",5499.31,858.48
4,Mouse,Electronics,5409.95,341.32
25,"Hair Dryer",Beauty,5044.75,292.30
19,Kettle,Kitchen,4997.46,371.16
6,Headphones,Electronics,4878.96,500.28
8,Printer,Electronics,4860.49,281.38
10,"Office Chair","Home Office",4791.61,504.14
14,Whiteboard,"Home Office",4786.28,486.88
8,Printer,Electronics,4773.70,844.14
25,"Hair Dryer",Beauty,4632.93,584.60
12,Notebook,"Home Office",4404.41,641.28
14,Whiteboard,"Home Office",4384.38,1460.64
1,Laptop,Electronics,4354.91,395.54
20,"Yoga Mat",Fitness,4325.32,245.34
18,"Air Fryer",Kitchen,4208.86,492.68
17,Toaster,Kitchen,4185.11,222.61
20,"Yoga Mat",Fitness,4110.13,163.56
23,Treadmill,Fitness,4060.61,449.72
28,"Makeup Kit",Beauty,4012.60,285.65
22,"Resistance Bands",Fitness,3729.39,471.60
30,Laptop,Electronics,3646.35,600.00
12,Notebook,"Home Office",3493.79,213.76
1,Laptop,Electronics,2835.76,197.77
22,"Resistance Bands",Fitness,2699.37,314.40
9,Desk,"Home Office",2409.81,214.62
22,"Resistance Bands",Fitness,2290.91,157.20
3,Keyboard,Electronics,2135.57,117.74
27,Shampoo,Beauty,1977.25,211.04
20,"Yoga Mat",Fitness,1968.99,81.78
27,Shampoo,Beauty,1878.39,263.80
19,Kettle,Kitchen,1746.68,371.16
27,Shampoo,Beauty,1526.44,105.52
27,Shampoo,Beauty,1150.76,158.28
12,Notebook,"Home Office",1124.33,106.88
3,Keyboard,Electronics,893.31,235.48
27,Shampoo,Beauty,450.81,52.76
