customer_id,order_id,month_order,unit_price_clean,quantity_clean,net_revenue,margin,discount_pct,product_id,category,unit_cost,store_id,store_name,region,campaign_id,campaign_name,budget,duration_days,start_date,end_date,stock_on_hand
13,1100,7,494.95,2,791.92,21.78,20.00,21,Fitness,309.71,11,"Store 11",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,10
13,1100,7,494.95,4,1880.81,34.13,5.00,21,Fitness,309.71,11,"Store 11",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,10
13,1357,7,323.46,6,1940.76,61.75,0.00,19,Kitchen,123.72,2,"Store 2",South,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,54
13,1357,7,372.01,6,2232.06,40.16,0.00,17,Kitchen,222.61,2,"Store 2",South,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,144
13,1100,7,987.96,6,5927.76,48.97,0.00,10,"Home Office",504.14,11,"Store 11",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,110
14,1148,4,185.84,4,743.36,42.49,0.00,12,"Home Office",106.88,5,"Store 5",West,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,49
14,1148,4,695.81,4,2226.59,21.93,20.00,11,"Home Office",434.59,5,"Store 5",West,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,15
15,1254,4,494.95,2,989.90,37.43,0.00,21,Fitness,309.71,7,"Store 7",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,62
15,1314,5,362.44,2,579.90,26.82,20.00,16,Kitchen,212.18,13,"Store 13",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,44
15,1314,5,932.63,5,3730.52,37.23,20.00,15,Kitchen,468.32,13,"Store 13",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,23
15,1254,4,1169.36,6,5963.74,32.78,15.00,5,Electronics,668.11,7,"Store 7",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,96
15,1565,6,279.16,4,949.14,50.38,15.00,3,Electronics,117.74,12,"Store 12",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,83
15,1254,4,1176.77,2,2353.54,31.70,0.00,2,Electronics,803.79,7,"Store 7",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,33
16,1122,7,999.00,2,1798.20,33.27,10.00,30,Electronics,600.00,12,"Store 12",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,71
16,1509,6,531.47,6,3188.82,46.25,0.00,28,Beauty,285.65,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,151
16,1449,5,494.95,6,2969.70,37.43,0.00,21,Fitness,309.71,10,"Store 10",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,84
16,1122,7,932.63,5,3963.68,40.92,15.00,15,Kitchen,468.32,12,"Store 12",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,155
16,1346,7,185.84,1,185.84,42.49,0.00,12,"Home Office",106.88,7,"Store 7",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,78
16,1122,7,185.84,3,557.52,42.49,0.00,12,"Home Office",106.88,12,"Store 12",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,35
16,1346,7,768.34,4,3073.36,34.89,0.00,6,Electronics,500.28,7,"Store 7",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,97
16,1074,7,851.96,2,1363.14,49.92,20.00,4,Electronics,341.32,5,"Store 5",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,26
16,1074,7,279.16,4,1116.64,57.82,0.00,3,Electronics,117.74,5,"Store 5",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,98
16,1509,6,337.59,1,337.59,41.42,0.00,1,Electronics,197.77,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,52
17,1222,4,79.09,5,395.45,33.29,0.00,27,Beauty,52.76,1,"Store 1",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,141
17,1077,1,514.77,4,1647.26,29.02,20.00,25,Beauty,292.30,10,"Store 10",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,145
17,1077,1,323.46,1,323.46,61.75,0.00,19,Kitchen,123.72,10,"Store 10",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,77
17,1077,1,932.63,4,3170.94,40.92,15.00,15,Kitchen,468.32,10,"Store 10",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,155
17,1506,6,730.73,6,3507.50,16.71,20.00,14,"Home Office",486.88,14,"Store 14",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,97
17,1222,4,695.81,6,3339.89,21.93,20.00,11,"Home Office",434.59,1,"Store 1",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,22
17,1077,1,695.81,6,4174.86,37.54,0.00,11,"Home Office",434.59,10,"Store 10",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,175
17,1506,6,1048.28,2,2096.56,42.04,0.00,7,Electronics,607.61,14,"Store 14",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,149
18,1427,5,531.47,6,3188.82,46.25,0.00,28,Beauty,285.65,4,"Store 4",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,92
18,1452,2,1090.83,4,4363.32,31.93,0.00,26,Beauty,742.48,1,"Store 1",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,96
18,1390,4,494.95,6,2375.76,21.78,20.00,21,Fitness,309.71,7,"Store 7",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,62
18,1520,7,323.46,4,1164.46,57.50,10.00,19,Kitchen,123.72,5,"Store 5",West,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,8
18,1390,4,323.46,6,1940.76,61.75,0.00,19,Kitchen,123.72,7,"Store 7",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,134
18,1452,2,362.44,5,1449.76,26.82,20.00,16,Kitchen,212.18,1,"Store 1",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,83
18,1520,7,362.44,5,1449.76,26.82,20.00,16,Kitchen,212.18,5,"Store 5",West,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,143
18,1452,2,109.54,1,87.63,43.84,20.00,13,"Home Office",49.21,1,"Store 1",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,78
18,1520,7,109.54,3,312.19,52.71,5.00,13,"Home Office",49.21,5,"Store 5",West,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,109
18,1390,4,308.95,3,787.82,18.27,15.00,9,"Home Office",214.62,7,"Store 7",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,30
18,1427,5,1169.36,1,1169.36,42.87,0.00,5,Electronics,668.11,4,"Store 4",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,107
19,1437,7,355.18,4,1207.61,47.93,15.00,22,Fitness,157.20,10,"Store 10",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,125
19,1437,7,494.95,2,989.90,37.43,0.00,21,Fitness,309.71,10,"Store 10",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,84
20,1363,3,999.00,2,1698.30,29.34,15.00,30,Electronics,600.00,3,"Store 3",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,113
20,1079,2,531.47,1,531.47,46.25,0.00,28,Beauty,285.65,5,"Store 5",West,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,102
20,1079,2,308.95,1,262.61,18.27,15.00,9,"Home Office",214.62,5,"Store 5",West,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,156
21,1040,6,355.18,4,1349.68,53.41,5.00,22,Fitness,157.20,13,"Store 13",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,185
21,1040,6,372.01,1,372.01,40.16,0.00,17,Kitchen,222.61,13,"Store 13",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,48
21,1391,7,109.54,6,525.79,43.84,20.00,13,"Home Office",49.21,12,"Store 12",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,43
21,1040,6,308.95,2,494.32,13.17,20.00,9,"Home Office",214.62,13,"Store 13",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,168
21,1391,7,279.16,5,1186.43,50.38,15.00,3,Electronics,117.74,12,"Store 12",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,83
22,1242,7,494.95,4,1880.81,34.13,5.00,21,Fitness,309.71,10,"Store 10",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,84
22,1288,3,932.63,3,2238.31,37.23,20.00,15,Kitchen,468.32,1,"Store 1",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,68
22,1242,7,730.73,4,2776.77,29.86,5.00,14,"Home Office",486.88,10,"Store 10",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,150
22,1198,5,109.54,6,624.38,52.71,5.00,13,"Home Office",49.21,15,"Store 15",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,114
22,1288,3,695.81,4,2644.08,34.25,5.00,11,"Home Office",434.59,1,"Store 1",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,22
22,1242,7,1048.28,6,6289.68,42.04,0.00,7,Electronics,607.61,10,"Store 10",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,76
22,1288,3,1169.36,6,5963.74,32.78,15.00,5,Electronics,668.11,1,"Store 1",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,16
22,1242,7,337.59,1,303.83,34.91,10.00,1,Electronics,197.77,10,"Store 10",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,16
23,1199,2,215.19,2,365.82,55.29,15.00,20,Fitness,81.78,6,"Store 6",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,51
23,1233,7,730.73,4,2338.34,16.71,20.00,14,"Home Office",486.88,10,"Store 10",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,150
23,1233,7,185.84,4,743.36,42.49,0.00,12,"Home Office",106.88,10,"Store 10",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,98
23,1233,7,1048.28,4,4193.12,42.04,0.00,7,Electronics,607.61,10,"Store 10",Central,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,76
23,1199,2,1176.77,5,5295.47,24.11,10.00,2,Electronics,803.79,6,"Store 6",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,153
25,1385,1,514.77,2,1029.54,43.22,0.00,25,Beauty,292.30,4,"Store 4",South,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,1
25,1385,1,1109.30,6,6655.80,33.49,0.00,24,Fitness,737.83,4,"Store 4",South,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,164
26,1561,4,514.77,4,1647.26,29.02,20.00,25,Beauty,292.30,8,"Store 8",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,51
28,1039,4,1109.30,3,2662.32,16.86,20.00,24,Fitness,737.83,7,"Store 7",South,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,67
28,1039,4,279.16,1,279.16,57.82,0.00,3,Electronics,117.74,7,"Store 7",South,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,95
29,1274,5,842.08,2,1431.54,14.46,15.00,29,Beauty,612.25,3,"Store 3",West,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,53
29,1283,7,531.47,5,2657.35,46.25,0.00,28,Beauty,285.65,3,"Store 3",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,94
29,1124,2,79.09,2,150.27,29.78,5.00,27,Beauty,52.76,12,"Store 12",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,31
29,1283,7,355.18,6,1811.42,47.93,15.00,22,Fitness,157.20,3,"Store 3",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,77
29,1244,3,932.63,6,5036.20,44.21,10.00,15,Kitchen,468.32,12,"Store 12",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,155
29,1005,1,730.73,4,2776.77,29.86,5.00,14,"Home Office",486.88,14,"Store 14",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,97
29,1283,7,185.84,1,167.26,36.10,10.00,12,"Home Office",106.88,3,"Store 3",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,50
29,1274,5,695.81,3,2087.43,37.54,0.00,11,"Home Office",434.59,3,"Store 3",West,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,90
29,1124,2,578.63,4,2083.07,45.97,10.00,8,Electronics,281.38,12,"Store 12",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,6
29,1244,3,768.34,1,614.67,18.61,20.00,6,Electronics,500.28,12,"Store 12",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,97
29,1244,3,1176.77,3,3530.31,31.70,0.00,2,Electronics,803.79,12,"Store 12",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,11
30,1182,5,362.44,3,1032.95,38.38,5.00,16,Kitchen,212.18,12,"Store 12",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,17
34,1158,7,1090.83,6,5890.48,24.37,10.00,26,Beauty,742.48,6,"Store 6",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,10
34,1158,7,845.96,3,2030.30,33.55,20.00,23,Fitness,449.72,6,"Store 6",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,119
34,1446,3,215.19,4,860.76,62.00,0.00,20,Fitness,81.78,14,"Store 14",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,180
35,1139,2,494.95,4,1781.82,30.47,10.00,21,Fitness,309.71,8,"Store 8",East,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,166
35,1139,2,987.96,4,3161.47,36.21,20.00,10,"Home Office",504.14,8,"Store 8",East,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,182
35,1340,7,1169.36,1,1110.89,39.86,5.00,5,Electronics,668.11,3,"Store 3",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,196
35,1139,2,279.16,3,837.48,57.82,0.00,3,Electronics,117.74,8,"Store 8",East,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,10
36,1311,4,845.96,1,845.96,46.84,0.00,23,Fitness,449.72,13,"Store 13",South,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,56
36,1311,4,372.01,1,316.21,29.60,15.00,17,Kitchen,222.61,13,"Store 13",South,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,48
37,1225,5,215.19,6,1097.47,55.29,15.00,20,Fitness,81.78,14,"Store 14",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,180
37,1225,5,323.46,5,1536.44,59.74,5.00,19,Kitchen,123.72,14,"Store 14",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,188
37,1225,5,109.54,2,197.17,50.08,10.00,13,"Home Office",49.21,14,"Store 14",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,165
37,1269,3,185.84,4,743.36,42.49,0.00,12,"Home Office",106.88,11,"Store 11",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,1
37,1333,6,1176.77,6,7060.62,31.70,0.00,2,Electronics,803.79,8,"Store 8",East,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,163
37,1225,5,1176.77,2,2353.54,31.70,0.00,2,Electronics,803.79,14,"Store 14",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,17
39,1080,5,842.08,5,4210.40,27.29,0.00,29,Beauty,612.25,10,"Store 10",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,161
39,1186,6,1090.83,2,2181.66,31.93,0.00,26,Beauty,742.48,12,"Store 12",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,45
39,1031,6,845.96,4,3383.84,46.84,0.00,23,Fitness,449.72,8,"Store 8",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,34
39,1031,6,355.18,1,337.42,53.41,5.00,22,Fitness,157.20,8,"Store 8",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,95
39,1080,5,355.18,5,1509.52,47.93,15.00,22,Fitness,157.20,10,"Store 10",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,125
39,1461,4,372.01,1,334.81,33.51,10.00,17,Kitchen,222.61,6,"Store 6",East,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,150
40,1019,4,999.00,3,2997.00,39.94,0.00,30,Electronics,600.00,13,"Store 13",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,83
40,1054,2,531.47,1,478.32,40.28,10.00,28,Beauty,285.65,3,"Store 3",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,94
40,1054,2,1169.36,1,1169.36,42.87,0.00,5,Electronics,668.11,3,"Store 3",West,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,196
41,1584,3,842.08,5,3789.36,19.21,10.00,29,Beauty,612.25,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,79
41,1584,3,1090.83,5,4636.03,19.92,15.00,26,Beauty,742.48,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,109
42,1029,2,1109.30,1,1053.84,29.99,5.00,24,Fitness,737.83,1,"Store 1",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,82
43,1209,1,79.09,6,403.36,21.52,15.00,27,Beauty,52.76,12,"Store 12",East,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,31
43,1205,6,514.77,1,411.82,29.02,20.00,25,Beauty,292.30,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,162
43,1205,6,323.46,6,1940.76,61.75,0.00,19,Kitchen,123.72,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,101
43,1458,1,1137.53,2,2161.31,54.41,5.00,18,Kitchen,492.68,2,"Store 2",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,123
43,1489,6,695.81,6,4174.86,37.54,0.00,11,"Home Office",434.59,11,"Store 11",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,84
43,1458,1,578.63,5,2893.15,51.37,0.00,8,Electronics,281.38,2,"Store 2",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,167
43,1458,1,1169.36,1,935.49,28.58,20.00,5,Electronics,668.11,2,"Store 2",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,174
43,1489,6,851.96,3,2555.88,59.94,0.00,4,Electronics,341.32,11,"Store 11",West,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,73
43,1205,6,1176.77,1,1176.77,31.70,0.00,2,Electronics,803.79,15,"Store 15",South,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,45
44,1021,1,932.63,3,2378.21,40.92,15.00,15,Kitchen,468.32,13,"Store 13",South,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,23
44,1021,1,308.95,5,1544.75,30.53,0.00,9,"Home Office",214.62,13,"Store 13",South,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,168
44,1021,1,279.16,4,1116.64,57.82,0.00,3,Electronics,117.74,13,"Store 13",South,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,166
45,1134,1,514.77,3,1544.31,43.22,0.00,25,Beauty,292.30,1,"Store 1",Central,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,61
45,1134,1,932.63,4,3730.52,49.79,0.00,15,Kitchen,468.32,1,"Store 1",Central,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,68
45,1134,1,185.84,5,882.74,39.46,5.00,12,"Home Office",106.88,1,"Store 1",Central,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,7
45,1418,5,695.81,5,2957.19,26.52,15.00,11,"Home Office",434.59,10,"Store 10",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,175
46,1014,4,215.19,4,774.68,57.77,10.00,20,Fitness,81.78,6,"Store 6",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,51
46,1194,5,932.63,5,3963.68,40.92,15.00,15,Kitchen,468.32,7,"Store 7",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,195
46,1014,4,768.34,1,768.34,34.89,0.00,6,Electronics,500.28,6,"Store 6",East,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,87
46,1194,5,337.59,4,1080.29,26.77,20.00,1,Electronics,197.77,7,"Store 7",South,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,86
47,1450,3,355.18,2,710.36,55.74,0.00,22,Fitness,157.20,9,"Store 9",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,193
47,1152,2,215.19,4,774.68,57.77,10.00,20,Fitness,81.78,6,"Store 6",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,51
47,1152,2,185.84,3,446.02,28.11,20.00,12,"Home Office",106.88,6,"Store 6",East,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,129
47,1123,5,185.84,3,529.64,39.46,5.00,12,"Home Office",106.88,9,"Store 9",Central,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,64
47,1056,7,987.96,4,3161.47,36.21,20.00,10,"Home Office",504.14,11,"Store 11",West,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,110
47,1056,7,578.63,5,2893.15,51.37,0.00,8,Electronics,281.38,11,"Store 11",West,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,52
47,1056,7,1048.28,3,2673.11,31.81,15.00,7,Electronics,607.61,11,"Store 11",West,3,"Back to Office",20002.00,15,2025-04-01,2025-04-16,44
47,1123,5,1176.77,5,4707.08,14.62,20.00,2,Electronics,803.79,9,"Store 9",Central,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,194
48,1436,2,1090.83,5,4363.32,14.92,20.00,26,Beauty,742.48,13,"Store 13",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,56
48,1436,2,1176.77,3,3530.31,31.70,0.00,2,Electronics,803.79,13,"Store 13",South,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,170
49,1392,4,531.47,2,1062.94,46.25,0.00,28,Beauty,285.65,9,"Store 9",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,200
49,1392,4,514.77,6,3088.62,43.22,0.00,25,Beauty,292.30,9,"Store 9",Central,1,"Winter Sale",7612.00,29,2025-01-01,2025-01-30,184
51,1067,5,185.84,1,148.67,28.11,20.00,12,"Home Office",106.88,14,"Store 14",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,170
51,1067,5,851.96,3,2428.09,57.83,5.00,4,Electronics,341.32,14,"Store 14",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,157
52,1033,7,999.00,4,3996.00,39.94,0.00,30,Electronics,600.00,7,"Store 7",South,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,81
52,1329,1,845.96,3,2284.09,40.93,10.00,23,Fitness,449.72,14,"Store 14",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,75
52,1490,2,215.19,6,1291.14,62.00,0.00,20,Fitness,81.78,10,"Store 10",Central,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,43
52,1033,7,185.84,2,315.93,32.34,15.00,12,"Home Office",106.88,7,"Store 7",South,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,78
52,1329,1,695.81,6,4174.86,37.54,0.00,11,"Home Office",434.59,14,"Store 14",Central,2,"Spring Refresh",21408.00,28,2025-02-15,2025-03-15,95
52,1033,7,279.16,1,279.16,57.82,0.00,3,Electronics,117.74,7,"Store 7",South,4,"Summer Deals",22662.00,33,2025-05-16,2025-06-18,95
55,1569,1,323.46,4,1293.84,61.75,0.00,19,Kitchen,123.72,1,"Store 1",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,173
55,1591,4,362.44,2,688.64,38.38,5.00,16,Kitchen,212.18,14,"Store 14",Central,5,"VIP Loyalty",16481.00,33,2025-06-30,2025-08-02,59
55,1569,1,695.81,1,695.81,37.54,0.00,11,"Home Office",434.59,1,"Store 1",Central,6,"Black Friday",23229.00,30,2025-08-14,2025-09-13,22
